EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	20:27:13	0.0000	1.1110481231639762	0.8862	0.9174	0.8761	0.8274	0.38388243317604065	0.885	0.9456	0.9095	0.8449	0.38388243317604065	0.885	0.9456	0.9095	0.8449
2	21:04:46	0.0000	0.3235568486887212	0.9459	0.9565	0.9305	0.9113	0.19577786326408386	0.9541	0.9602	0.9362	0.9207	0.19577786326408386	0.9541	0.9602	0.9362	0.9207
3	21:42:15	0.0000	0.23244981842617699	0.9584	0.967	0.9511	0.9306	0.20421896874904633	0.9587	0.9636	0.9436	0.9279	0.20421896874904633	0.9587	0.9636	0.9436	0.9279
4	22:19:51	0.0000	0.19254647612139883	0.9662	0.9723	0.9591	0.9421	0.2255678027868271	0.9593	0.9626	0.938	0.9273	0.2255678027868271	0.9593	0.9626	0.938	0.9273
5	22:57:26	0.0000	0.16892836852815465	0.9717	0.9756	0.9673	0.9501	0.23825453221797943	0.9601	0.9625	0.943	0.9276	0.23825453221797943	0.9601	0.9625	0.943	0.9276
6	23:35:00	0.0000	0.1518915933416588	0.9792	0.9757	0.9717	0.9571	0.2685738801956177	0.9611	0.9632	0.9437	0.9292	0.2685738801956177	0.9611	0.9632	0.9437	0.9292
7	00:12:38	0.0000	0.1366849946143408	0.9772	0.983	0.9749	0.9622	0.28542593121528625	0.9587	0.9614	0.9445	0.9254	0.28542593121528625	0.9587	0.9614	0.9445	0.9254
8	00:50:14	0.0000	0.12483269007463463	0.9816	0.9837	0.9776	0.9669	0.3137236535549164	0.9597	0.9607	0.943	0.9257	0.3137236535549164	0.9597	0.9607	0.943	0.9257
9	01:27:52	0.0000	0.11649324073335854	0.9819	0.9867	0.979	0.9699	0.33602070808410645	0.9548	0.9618	0.9415	0.9218	0.33602070808410645	0.9548	0.9618	0.9415	0.9218
10	02:05:32	0.0000	0.10859033768164068	0.9844	0.9856	0.9804	0.9713	0.3378925621509552	0.9574	0.9611	0.9417	0.9239	0.3378925621509552	0.9574	0.9611	0.9417	0.9239
